article_number,DOI,doi_link,study_number,all_registration_urls,journal_title
64,10.1037/xlm0001363,doi.org/10.1037/xlm0001363,NA,https://osf.io/a3u54,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
73,10.1037/xlm0001224,doi.org/10.1037/xlm0001224,Experiment 1,https://osf.io/j3wqb,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
70,10.1037/xlm0001349,doi.org/10.1037/xlm0001349,Experiment 2,https://osf.io/8ru6z,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
27,10.1037/xge0001120,doi.org/10.1037/xge0001120,Study 4,https://osf.io/ku6fq,Journal of Experimental Psychology: General
23,10.1037/xge0001409,doi.org/10.1037/xge0001409,Experiment 1,https://osf.io/wrtgu,Journal of Experimental Psychology: General
90,10.1037/pspa0000386,doi.org/10.1037/pspa0000386,Experiment 4,https://osf.io/zbmun,Journal of Personality and Social Psychology
72,10.1037/xlm0001148,doi.org/10.1037/xlm0001148,Experiment 2,https://osf.io/x9n36,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
88,10.1037/pspi0000411,doi.org/10.1037/pspi0000411,Study 2,https://osf.io/jbknq,Journal of Personality and Social Psychology
39,10.1037/xge0001634,doi.org/10.1037/xge0001634,NA,https://osf.io/ur73j,Journal of Experimental Psychology: General
11,10.1037/emo0000982,doi.org/10.1037/emo0000982,NA,https://osf.io/tb4qv,Emotion
29,10.1037/xge0001280,doi.org/10.1037/xge0001280,NA,https://osf.io/43xfe;https://osf.io/mcdpu,Journal of Experimental Psychology: General
94,10.1037/pspp0000332,doi.org/10.1037/pspp0000332,Study 2,https://osf.io/wfb64;https://osf.io/zgwuf;https://osf.io/pmex8;https://osf.io/6wpa8,Journal of Personality and Social Psychology
65,10.1037/xlm0001161,doi.org/10.1037/xlm0001161,Experiment 2,https://osf.io/9sq5u,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
3,10.1037/emo0001132,doi.org/10.1037/emo0001132,NA,https://osf.io/csvbe,Emotion
28,10.1037/xge0001256,doi.org/10.1037/xge0001256,Experiment 4,https://osf.io/hkc4u;https://osf.io/spu29;https://osf.io/59c3z;https://osf.io/rqmw5,Journal of Experimental Psychology: General
2,10.1037/emo0001434,doi.org/10.1037/emo0001434,NA,https://osf.io/fk6yu,Emotion
92,10.1037/pspa0000423,doi.org/10.1037/pspa0000423,Experiment 2,https://osf.io/tmkvd,Journal of Personality and Social Psychology
