parser,embedding,llm,reasoning_effort,temperature,append_outputs,hyperparam_id,doi,dimension,human_coder,paper_id,cosine,deviation_agree
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_10,inex,BC,2,0.7081719871006715,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_10,inex,JC,2,0.47414529283949963,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_10,samplesize,BC,2,0.7169946910207846,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_10,samplesize,JC,2,0.5914244400618789,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_10,manvars,BC,2,0.7748871638296329,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_10,manvars,JC,2,0.6399404236783793,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_10,measurevars,BC,2,0.7905215787646328,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_10,measurevars,JC,2,0.7100823272018986,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_10,stats,BC,2,0.9310188986446768,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_10,stats,JC,2,0.9343382887862414,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_10,transf,BC,2,0.5846233768468003,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_10,transf,JC,2,0.9461314247725929,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_10,missd,BC,2,0.7950330240493972,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_10,missd,JC,2,0.4359912719825664,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_11,hypothesis,BC,4,0.7137366775034838,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_11,hypothesis,JC,4,0.608727840502609,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_11,datas,BC,4,0.7054237520733803,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_11,datas,JC,4,0.8133098721214207,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_11,inex,BC,4,0.7695775726330927,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_11,inex,JC,4,0.8081124366344138,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_11,samplesize,BC,4,0.1975066073487481,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_11,samplesize,JC,4,0.6930920571659003,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_11,manvars,BC,4,0.6507815623966301,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_11,manvars,JC,4,0.6902426004116665,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_11,measurevars,BC,4,0.375231873157048,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_11,measurevars,JC,4,0.7689707989499789,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_11,stats,BC,4,0.9357012800976091,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_11,stats,JC,4,0.9222005698387683,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_11,transf,BC,4,0.9571053866463184,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_11,transf,JC,4,0.8328786621410322,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_11,missd,BC,4,0.8803373995435959,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_11,missd,JC,4,0.5115648992097364,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_12,hypothesis,BC,5,0.4358301853482853,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_12,hypothesis,JC,5,0.5865742382042707,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_12,datas,BC,5,0.771474895670507,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_12,datas,JC,5,0.6945450881630753,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_12,inex,BC,5,0.8423495813150597,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_12,inex,JC,5,0.8592950735073551,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_12,samplesize,BC,5,0.5229778475724498,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_12,samplesize,JC,5,0.7911284552877995,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_12,manvars,BC,5,0.7233971585415981,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_12,manvars,JC,5,0.6833111052549967,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_12,measurevars,BC,5,0.8704870801862616,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_12,measurevars,JC,5,0.8007010579081895,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_12,stats,BC,5,0.8755545113011418,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_12,stats,JC,5,0.6814306508756478,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_12,transf,BC,5,0.5856261990571467,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_12,transf,JC,5,0.6381613783598418,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_12,missd,BC,5,0.8152355856311287,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_12,missd,JC,5,0.8777135121455499,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_13,hypothesis,BC,6,0.8235566552166538,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_13,hypothesis,JC,6,0.24829821544186442,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_13,datas,BC,6,0.9075344246406492,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_13,datas,JC,6,0.7761721744041185,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_13,inex,BC,6,0.20604073799131215,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_13,inex,JC,6,0.7329200976403493,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_13,samplesize,BC,6,0.8086398878469696,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_13,samplesize,JC,6,0.5913711639660616,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_13,manvars,BC,6,0.7338620948310914,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_13,manvars,JC,6,0.8358850421808856,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_13,measurevars,BC,6,0.7175239978991089,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_13,measurevars,JC,6,0.6661328344532785,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_13,stats,BC,6,0.25421050902009035,1
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_13,stats,JC,6,0.6882926910841846,0
GROBID,text-embedding-3-large,GPT-5.1,Low,NA,Yes,1,doi_13,transf,BC,6,0.4292507464643133,1
